ANO;PERIODO;REPRESENTANTE;CLIENTE;DATAFATURAMENTO;DATAVENCIMENTO;DATAPAGAMENTO;NOTA;SERIE;FATURA;TIPO;PARCELA;VALOR;VALID_COM;VALOR_COM_2;Processo da Comissao;Estorno Inadimplecia?
20;5;134286;91984;18/02/2020;18/05/2020;08/05/2020;1942880;1;34485401;RI;2;145,92;0,08;11,6736;Parcelas Pagas no Mês                                                 ; 
20;5;134286;91984;29/01/2020;28/05/2020;08/05/2020;1921699;1;33282601;RI;4;49,16;0,08;3,9328;Parcelas Pagas no Mês                                                 ; 
20;5;134286;86877;23/03/2020;22/05/2020;25/05/2020;1974804;1;36096301;RI;1;174,15;0,09;15,6735;Parcelas Pagas no Mês                                                 ; 
20;5;134286;83717;27/03/2020;26/05/2020;27/05/2020;1976759;1;36237901;RI;1;224,1;0,09;20,169;Parcelas Pagas no Mês                                                 ; 
20;5;134286;91983;05/03/2020;04/05/2020;05/05/2020;1959260;1;35345301;RI;2;21,93;0,08;1,7544;Parcelas Pagas no Mês                                                 ; 
20;5;134286;91983;25/01/2020;24/05/2020;08/05/2020;1918931;1;33057201;RI;3;165,91;0,08;13,2728;Parcelas Pagas no Mês                                                 ; 
20;5;134286;91983;21/02/2020;21/05/2020;08/05/2020;1945583;1;34672401;RI;2;18,28;0,08;1,4624;Parcelas Pagas no Mês                                                 ; 
20;5;134286;86825;25/03/2020;24/05/2020;26/05/2020;1975606;1;36154001;RI;1;148,5;0,09;13,365;Parcelas Pagas no Mês                                                 ; 
20;5;134286;89453;17/10/2019;14/05/2020;15/05/2020;1836942;1;27313101;RI;6;417,3;0,06;25,038;Parcelas Pagas no Mês                                                 ; 
20;5;134286;89453;20/11/2019;18/05/2020;18/05/2020;1864270;1;29408701;RI;5;121,07;0,07;8,4749;Parcelas Pagas no Mês                                                 ; 
20;5;134286;89453;20/11/2019;18/05/2020;19/05/2020;1864270;1;29408701;RI;6;121,07;0,07;8,4749;Parcelas Pagas no Mês                                                 ; 
20;5;134286;86866;13/03/2020;02/05/2020;05/05/2020;1967596;1;35759901;RI;1;238,5;0,1;23,85;Parcelas Pagas no Mês                                                 ; 
20;5;134286;94610;13/01/2020;12/05/2020;13/05/2020;1907922;1;32393001;RI;4;749,93;0,09;67,4937;Parcelas Pagas no Mês                                                 ; 
20;5;134286;86944;19/11/2019;17/05/2020;26/05/2020;1863337;1;29323501;RI;5;401,4;0,09;36,126;Parcelas Pagas no Mês                                                 ; 
20;5;134286;86944;19/11/2019;17/05/2020;19/05/2020;1863337;1;29323501;RI;6;401,4;0,09;36,126;Parcelas Pagas no Mês                                                 ; 
20;5;134286;14183;25/03/2020;24/05/2020;26/05/2020;1975756;1;36167601;RI;1;294,3;0,09;26,487;Parcelas Pagas no Mês                                                 ; 
20;5;134286;14183;16/01/2020;15/05/2020;21/05/2020;1910805;1;32499101;RI;4;437,1;0,09;39,339;Parcelas Pagas no Mês                                                 ; 
20;5;134286;89981;18/03/2020;07/05/2020;08/05/2020;1971652;1;35920401;RI;1;225,04;0,08;18,0032;Parcelas Pagas no Mês                                                 ; 
20;5;134286;89981;25/03/2020;25/05/2020;21/05/2020;1975852;1;36177201;RI;1;153;0,1;15,3;Parcelas Pagas no Mês                                                 ; 
20;5;134286;8129;16/01/2020;15/05/2020;18/05/2020;1911240;1;32516201;RI;3;528,5;0,06;31,71;Parcelas Pagas no Mês                                                 ; 
